Title,Year,Genre,Director,Cast,Languages,Plot
"Great Locomotive Chase, The",1956.0,Adventure|War,Francis D. Lyon,"Fess Parker,Jeffrey Hunter,Jeff York,John Lupton,Eddie Firestone",English,"During the Civil War, a Union spy, Andrews, is asked to lead a band of Union soldiers into the South so that they could destroy the railway system. However, things don't go as planned when the conductor of the train that they stole is on to them and is doing everything he can to stop them. Based on a true story."
Raging Bull,1980.0,Drama,Martin Scorsese,"Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,Nicholas Colasanto",English,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Soft Fruit,1999.0,Comedy|Drama,Christina Andreef,"Jeanie Drynan,Linal Haft,Russell Dykstra,Geneviève Lemon,Sacha Horler",English,"For the first time in 15 years, all four siblings in a family show up to care for their dying mother, who is only given a couple of weeks to live. One comes from America with her two children. A divorced sister also comes with her child and sneaks off regularly to meet a mystery man who may be her ex-husband. The third & youngest daughter is an unmarried nurse aware of her ticking biological clock. The only son chases after his grumpy father who seems to not care a whit about his wife's circumstances. The four are also faced my their mother's dreams to accomplish a few things before she dies - to visit a beach she had visited in the past, to see her youngest married, and to visit Paris. She also wants to be embalmed and be honored with a 21 gun salute. Thus the whole group has to set off in the quest to fulfill their mother's wishes."
Creepshow 2,1987.0,Horror,Michael Gornick,"Lois Chiles,George Kennedy,Dorothy Lamour,Daniel Beer,Jeremy Green",English,"The rotting Creep himself is back with three new gruesome tales of horror that will make your skin crawl; a cigar store wooden Indian comes to life to avenge the store owner's brutal murder at the hands of three punks in ""Old Chief Wood'nhead."" The chills continue with ""The Hitchhiker,"" The chilling tale of a woman who keeps running into, and over, the same mutilated man on a lonely road."
Pacific Heights,1990.0,Thriller,John Schlesinger,"Melanie Griffith,Matthew Modine,Michael Keaton,Mako,Nobu McCarthy",English,A couple works hard to renovate their dream house and become landlords to pay for it. Unfortunately one of their tenants has plans of his own.
Fire Down Below,1997.0,Action|Drama|Thriller,Félix Enríquez Alcalá,"Steven Seagal,Marg Helgenberger,Stephen Lang,Brad Hunt,Kris Kristofferson",English,"When an EPA representative is murdered in a small Appalachian community, EPA undercover agent Jack Taggart is sent in—posing as a handyman working with a Christian relief agency—to determine what happened."
American Psycho,2000.0,Comedy|Horror|Thriller,Mary Harron,"Christian Bale,Willem Dafoe,Jared Leto,Josh Lucas,Samantha Mathis","English,Español,广州话 / 廣州話","A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies."
Breaking the Waves,1996.0,Drama,Lars von Trier,"Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr,Adrian Rawlins",English,"In a small and conservative Scottish village, a woman's paralytic husband convinces her to have extramarital intercourse so she can tell him about it and give him a reason for living."
Bride of Chucky,1998.0,Horror|Thriller,Ronny Yu,"Jennifer Tilly,Brad Dourif,Katherine Heigl,Nick Stabile,Gordon Michael Woolvett",English,"After being cut apart by the police, killer doll Chucky is resurrected by Tiffany, an ex-girlfriend of the serial murderer whose soul is inside the toy. Following an argument, Chucky kills Tiffany and transfers her soul into a bride doll. To find the magical amulet that can restore them both to human form, Chucky and Tiffany arrange to be driven to New Jersey by Jesse and Jade, who are unaware that their cargo is alive."
GoodFellas,1990.0,Crime|Drama,Martin Scorsese,"Ray Liotta,Robert De Niro,Joe Pesci,Lorraine Bracco,Paul Sorvino","Italiano,English","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway."
"Wisdom of Crocodiles, The (a.k.a. Immortality)",1998.0,Romance|Thriller,Po-Chih Leong,"Jude Law,Elina Löwensohn,Timothy Spall,Jack Davenport,Hitler Wong",English,A vampire in London is searching for the ideal woman to 'redeem' him.
"Hanging Garden, The",1997.0,Drama,Thom Fitzgerald,"Peter MacNeill,Chris Leavins,Kerry Fox,Joel S. Keller,Seana McKenna",English,"William, a once obese and troubled teen, goes back to his family's home after being gone, without word, for ten years and finds it (and his family) haunted with his past. He had moved to the city and become a fit, well-adjusted gay man, but during his visit home, he becomes unhinged as the newly remembered reasons for his miserable adolescence come to life in each of their presents."
"Empty Mirror, The",1996.0,Drama,Barry J. Hershey,"Norman Rodway,Camilla Søeberg,Peter Michael Goetz,Doug McKeon,Joel Grey",,"Adolf Hitler faces himself and must come to terms with his infamous career in an imaginary post-war subterranean bunker where he reviews historical films, dictates his memoirs and encounters Eva Braun, Josef Goebbels, Hermann Göring and Sigmund Freud."
Carmen Miranda: Bananas Is My Business,1995.0,Documentary,Helena Solberg,"Helena Solberg,Carmen Miranda,Aurora Miranda,Cesar Romero,Rita Moreno","Español,English,Português","A biography of the Portuguese-Brazilian singer Carmen Miranda, whose most distinctive feature was her tutti-frutti hat. From her arrival in the US as the ""Brazilian Bombshell"" to her Broadway career and Hollywood stardom in the 1940s."
"Way of the Gun, The",2000.0,Crime|Thriller,Christopher McQuarrie,"Ryan Phillippe,Benicio del Toro,Juliette Lewis,James Caan,Taye Diggs","Español,English",Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.
Dumb & Dumber,1994.0,Comedy,Peter Farrelly,"Jim Carrey,Jeff Daniels,Lauren Holly,Teri Garr,Charles Rocket",English,"Lloyd and Harry are two men whose stupidity is really indescribable. When Mary, a beautiful woman, loses an important suitcase with money before she leaves for Aspen, the two friends (who have found the suitcase) decide to return it to her. After some ""adventures"" they finally get to Aspen where, using the lost money they live it up and fight for Mary's heart."
Sling Blade,1996.0,Drama|Thriller,Billy Bob Thornton,"Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter,Lucas Black",English,"Karl Childers, a mentally disabled man, has been in the custody of the state mental hospital since the age of 12 for killing his mother and her lover. Although thoroughly institutionalized, he is deemed fit to be released into the outside world."
When a Man Loves a Woman,1994.0,Drama,Luis Mandoki,"Andy García,Meg Ryan,Tina Majorino,Philip Seymour Hoffman,Lauren Tom","English,Tiếng Việt","An airline pilot and his wife are forced to face the consequences of her alcoholism when her addictions threaten her life and their daughter's safety. While the woman enters detox, her husband must face the truth of his enabling behavior."
Mystery Men,1999.0,Action|Adventure|Comedy,Kinka Usher,"Ben Stiller,Hank Azaria,William H. Macy,Greg Kinnear,Kel Mitchell",English,"When Champion City's hero Captain Amazing is kidnapped by the recently paroled supervillain Casanova Frankenstein, a trio of average, everyday superheroes -- Mr. Furious, the Shoveler and the Blue Raja -- assemble a new super team to save him."
Down by Law,1986.0,Comedy|Drama,Jim Jarmusch,"Tom Waits,John Lurie,Roberto Benigni,Nicoletta Braschi,Ellen Barkin","English,Italiano","A disc jockey, a pimp and an Italian tourist escape from jail in New Orleans."
"Wood, The",1999.0,Drama,Rick Famuyiwa,"Omar Epps,Richard T. Jones,Taye Diggs,Sanaa Lathan,LisaRaye McCoy",English,"In the panicky, uncertain hours before his wedding, a groom with prenuptial jitters and his two best friends reminisce about growing up together in the middle-class African-American neighborhood of Inglewood, California. Flashing back to the twenty-something trio's childhood exploits, the memories capture the mood and nostalgia of the '80s era."
"Santa Clause, The",1994.0,Children's|Comedy|Fantasy,John Pasquin,"Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd,David Krumholtz",English,"On Christmas Eve, divorced dad Scott Calvin and his son discover Santa Claus has fallen off their roof. When Scott takes the reins of the magical sleigh, he finds he is now the new Santa, and must convince a world of disbelievers, including himself."
Gothic,1986.0,Drama|Horror,Ken Russell,"Gabriel Byrne,Julian Sands,Natasha Richardson,Myriam Cyr,Timothy Spall",English,"Living on an estate on the shores of Lake Geneva, Lord Byron is visited by Percy and Mary Shelley. Together with Byron's lover Claire Clairmont, and aided by hallucinogenic substances, they devise an evening of ghoulish tales. However, when confronted by horrors, ostensibly of their own creation, it becomes difficult to tell apparition from reality."
"Firm, The",1993.0,Drama|Thriller,Sydney Pollack,"Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Hal Holbrook,Terry Kinney",English,"Mitch McDeere is a young man with a promising future in Law. About to sit his Bar exam, he is approached by 'The Firm' and made an offer he doesn't refuse. Seduced by the money and gifts showered on him, he is totally oblivious to the more sinister side of his company. Then, two Associates are murdered. The FBI contact him, asking him for information and suddenly his life is ruined. He has a choice - work with the FBI, or stay with the Firm. Either way he will lose his life as he knows it. Mitch figures the only way out is to follow his own plan..."
Star Trek: The Motion Picture,1979.0,Action|Adventure|Sci-Fi,Robert Wise,"William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,George Takei",English,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it."
52 Pick-Up,1986.0,Action|Mystery|Thriller,John Frankenheimer,"Roy Scheider,Ann-Margret,Vanity,John Glover,Robert Trebor","English,Italiano","Harry Mitchell is a successful Los Angeles manufacturer whose wife is running for city council. His life is turned upside down when three blackmailers confront him with a videotape of him with his young mistress and demand $100,000. Fearing that the story will hurt his wife's political campaign if he goes to the police, Harry pretends that he will pay the men, but does not follow through."
"Lady Vanishes, The",1938.0,Comedy|Mystery|Romance|Thriller,Alfred Hitchcock,"Margaret Lockwood,Michael Redgrave,Paul Lukas,May Whitty,Basil Radford","Italiano,English,Deutsch,Français","On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris befriends elderly Miss Froy. When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly."
Mr. Magoo,1997.0,Comedy,Stanley Tong,"Leslie Nielsen,Kelly Lynch,Matt Keeslar,Nick Chinlund,Stephen Tobolowsky",English,"Mr. Magoo, a man with terrible eyesight, gets caught up in a museum robbery."
Cemetery Man (Dellamorte Dellamore),1994.0,Comedy|Horror,Michele Soavi,"Rupert Everett,François Hadji-Lazaro,Anna Falchi,Mickey Knox,Fabiana Formica","English,Italiano","A cemetery man has the unusual problem of the dead rising from the grave. Himself and his assistant must end these creatures' lives again after they are reborn. Everything is going well until ""She"" comes along and stirs things up a bit."
